,cevae_ite
1230,-0.022325249
1231,-0.011531783
1232,-0.021744015
1233,-0.035108496
1234,-0.014901911
1235,-0.011474094
1236,-0.010889331
1237,-0.013206555
1238,-0.019937893
1239,-0.015027256
1240,-0.026171558
1241,-0.014729697
1242,-0.021391569
1243,-0.011297186
1244,-0.016121283
1245,-0.016164197
1246,-0.010789251
1247,-0.01557943
1248,-0.026768133
1249,-0.009086608
1250,-0.026556883
1251,-0.032889917
1252,-0.008842701
1253,-0.019242294
1254,-0.015136917
1255,-0.024775971
1256,-0.016603524
1257,-0.013279453
1258,-0.015056425
1259,-0.013271717
1260,-0.019226272
1261,-0.028099615
1262,-0.016764415
1263,-0.023835666
1264,-0.014010162
1265,-0.013684633
1266,-0.012430827
1267,-0.022121917
1268,-0.016231216
1269,-0.023299458
1270,-0.015631028
1271,-0.015719861
1272,-0.019159084
1273,-0.016860623
1274,-0.022204967
1275,-0.01799828
1276,-0.012413465
1277,-0.019372746
1278,-0.009404408
1279,-0.011091962
1280,-0.016848557
1281,-0.018373858
1282,-0.014196094
1283,-0.01955267
1284,-0.012410858
1285,-0.012082626
1286,-0.0252223
1287,-0.018326964
1288,-0.021914177
1289,-0.027677599
1290,-0.012775215
1291,-0.013878886
1292,-0.015270685
1293,-0.012671202
1294,-0.015794326
1295,-0.009071337
1296,-0.01432686
1297,-0.019004554
1298,-0.021103699
1299,-0.015349175
1300,-0.019490596
1301,-0.030862149
1302,-0.008957251
1303,-0.016445622
1304,-0.013045466
1305,-0.014283855
1306,-0.014028667
1307,-0.0165313
1308,-0.011130455
1309,-0.017835347
1310,-0.012274581
1311,-0.026181942
1312,-0.022578487
1313,-0.028381297
1314,-0.02084941
1315,-0.021730961
1316,-0.021050781
1317,-0.022031039
1318,-0.009310837
1319,-0.016153691
1320,-0.013355767
1321,-0.018188663
1322,-0.01179785
1323,-0.022977147
1324,-0.015604022
1325,-0.01045776
1326,-0.012994472
1327,-0.029384328
1328,-0.007657306
1329,-0.015836872
1330,-0.020499773
1331,-0.015855031
1332,-0.01376838
1333,-0.015326846
1334,-0.017126393
1335,-0.016889654
1336,-0.009773714
1337,-0.011120974
1338,-0.019589078
1339,-0.017285461
1340,-0.010525094
1341,-0.017315548
1342,-0.018980656
1343,-0.019587334
1344,-0.022483218
1345,-0.020631954
1346,-0.020505764
1347,-0.019594532
1348,-0.023516012
1349,-0.012006157
1350,-0.014829157
1351,-0.012710528
1352,-0.021019138
1353,-0.026558992
1354,-0.030494299
1355,-0.014693225
1356,-0.019142305
1357,-0.024127748
1358,-0.017308541
1359,-0.014180346
1360,-0.025028689
1361,-0.026051207
1362,-0.023742143
1363,-0.022070771
1364,-0.016449913
1365,-0.019684805
1366,-0.010569739
1367,-0.013782701
1368,-0.017547891
1369,-0.009721054
1370,-0.018872092
1371,-0.018007286
1372,-0.012970694
1373,-0.018369619
1374,-0.011752323
1375,-0.016372981
1376,-0.01358314
1377,-0.009292681
1378,-0.019281898
1379,-0.018512482
1380,-0.012973374
1381,-0.021942554
1382,-0.013883034
1383,-0.013178887
1384,-0.013185614
1385,-0.013076045
1386,-0.014193964
1387,-0.012816578
1388,-0.01055114
1389,-0.015934901
